cultivo,anio,campania,provincia,departamento,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_tn_ha,tasa_cosecha
girasol,2017,2017/2018,Buenos Aires,Saladillo,3329,3229,5328,1.65,0.97
girasol,2017,2017/2018,Buenos Aires,San Cayetano,33000,30000,72000,2.4,0.909
girasol,2017,2017/2018,Buenos Aires,San Antonio de Areco,100,100,290,2.9,1.0
girasol,2017,2017/2018,Buenos Aires,Salliqueló,6000,6000,15000,2.5,1.0
girasol,2017,2017/2018,Chaco,Comandante Fernández,33100,33100,52960,1.6,1.0
girasol,2017,2017/2018,Santa Fe,General Obligado,90000,90000,144000,1.6,1.0
girasol,2017,2017/2018,Chaco,Chacabuco,31059,30359,54646,1.8,0.977
girasol,2017,2017/2018,Chaco,12 de Octubre,32952,32202,54743,1.7,0.977
girasol,2017,2017/2018,Buenos Aires,Villarino,1000,1000,1400,1.4,1.0
girasol,2017,2017/2018,Buenos Aires,Tres Lomas,14000,14000,35000,2.5,1.0
girasol,2017,2017/2018,Chaco,2 de Abril,42705,41655,74979,1.8,0.975
girasol,2017,2017/2018,Chaco,Almirante Brown,49759,49759,92054,1.85,1.0
girasol,2017,2017/2018,Chaco,9 de Julio,26097,25447,43260,1.7,0.975
girasol,2017,2017/2018,Chaco,25 de Mayo,115,115,184,1.6,1.0
girasol,2017,2017/2018,San Luis,Gobernador Dupuy,1500,1500,3150,2.1,1.0
girasol,2017,2017/2018,Chaco,Maipú,22694,22694,37445,1.65,1.0
girasol,2017,2017/2018,Córdoba,Marcos Juárez,1100,1100,2420,2.2,1.0
girasol,2017,2017/2018,Chaco,Libertador General San Martín,900,900,1350,1.5,1.0
girasol,2017,2017/2018,Chaco,General Belgrano,17583,17133,30839,1.8,0.974
girasol,2017,2017/2018,Chaco,Fray Justo Santa María de Oro,17281,16881,28698,1.7,0.977
girasol,2017,2017/2018,Chaco,Independencia,49785,49785,79656,1.6,1.0
girasol,2017,2017/2018,Chaco,General Güemes,6848,6848,11642,1.7,1.0
girasol,2017,2017/2018,Córdoba,Juárez Celman,1096,1096,2192,2.0,1.0
girasol,2017,2017/2018,Chaco,Quitilipi,8189,8189,14740,1.8,1.0
girasol,2017,2017/2018,Córdoba,General San Martín,200,200,360,1.8,1.0
girasol,2017,2017/2018,Chaco,O'Higgins,33626,32776,52442,1.6,0.975
girasol,2017,2017/2018,Chaco,Mayor Luis J. Fontana,31416,30666,52132,1.7,0.976
girasol,2017,2017/2018,Chaco,San Fernando,3117,3037,4556,1.5,0.974
girasol,2017,2017/2018,Córdoba,General Roca,4000,3900,8580,2.2,0.975
girasol,2017,2017/2018,Chaco,Sargento Cabral,300,150,330,2.2,0.5
girasol,2017,2017/2018,Chaco,San Lorenzo,1322,1302,1953,1.5,0.985
girasol,2017,2017/2018,Entre Ríos,Diamante,500,500,1000,2.0,1.0
girasol,2017,2017/2018,Santa Fe,General López,500,500,1600,3.2,1.0
girasol,2017,2017/2018,San Luis,General Pedernera,4500,4500,8550,1.9,1.0
girasol,2017,2017/2018,La Pampa,Catriló,44100,44100,123480,2.8,1.0
girasol,2017,2017/2018,Córdoba,Unión,1000,1000,2400,2.4,1.0
girasol,2017,2017/2018,Córdoba,Río Cuarto,2170,2170,4340,2.0,1.0
girasol,2017,2017/2018,Córdoba,Presidente Roque Sáenz Peña,2000,1900,4180,2.2,0.95
girasol,2017,2017/2018,La Pampa,Capital,17100,17100,34200,2.0,1.0
girasol,2017,2017/2018,Entre Ríos,Paraná,4300,4300,8600,2.0,1.0
girasol,2017,2017/2018,Entre Ríos,La Paz,2200,2200,4400,2.0,1.0
girasol,2017,2017/2018,Entre Ríos,Federación,200,200,340,1.7,1.0
girasol,2017,2017/2018,Entre Ríos,Federal,500,500,900,1.8,1.0
girasol,2017,2017/2018,Entre Ríos,Uruguay,150,150,270,1.8,1.0
girasol,2017,2017/2018,La Pampa,Atreucó,33600,33600,84000,2.5,1.0
girasol,2017,2017/2018,Formosa,sin definir,10000,8500,15300,1.8,0.85
girasol,2017,2017/2018,Entre Ríos,Villaguay,50,50,70,1.4,1.0
girasol,2017,2017/2018,San Luis,Coronel Pringles,1000,1000,2300,2.3,1.0
girasol,2017,2017/2018,La Pampa,Chapaleufú,5900,5700,15960,2.8,0.966
girasol,2017,2017/2018,Santa Fe,Castellanos,19620,19620,43164,2.2,1.0
girasol,2017,2017/2018,La Pampa,Conhelo,3600,3500,7700,2.2,0.972
girasol,2017,2017/2018,La Pampa,Rancul,7800,7600,18240,2.4,0.974
girasol,2017,2017/2018,La Pampa,Realicó,7100,6900,16560,2.4,0.972
girasol,2017,2017/2018,La Pampa,Quemú Quemú,35700,34600,89960,2.6,0.969
girasol,2017,2017/2018,La Pampa,Maracó,11700,11300,30510,2.7,0.966
girasol,2017,2017/2018,San Luis,Chacabuco,300,300,630,2.1,1.0
girasol,2017,2017/2018,Santa Fe,Belgrano,700,700,1680,2.4,1.0
girasol,2017,2017/2018,La Pampa,Toay,5600,5600,8400,1.5,1.0
girasol,2017,2017/2018,La Pampa,Trenel,2700,2600,5720,2.2,0.963
girasol,2017,2017/2018,San Luis,Ayacucho,200,200,640,3.2,1.0
girasol,2017,2017/2018,Santa Fe,9 de Julio,26000,26000,67600,2.6,1.0
girasol,2017,2017/2018,La Pampa,Utracán,3000,3000,4500,1.5,1.0
girasol,2017,2017/2018,San Luis,Juan Martín de Pueyrredón,400,400,840,2.1,1.0
girasol,2017,2017/2018,Santiago del Estero,General Taboada,6500,6500,14300,2.2,1.0
girasol,2017,2017/2018,Santa Fe,San Cristóbal,26000,26000,59800,2.3,1.0
girasol,2017,2017/2018,Santa Fe,La Capital,5000,5000,12500,2.5,1.0
girasol,2017,2017/2018,Santa Fe,Las Colonias,15980,15980,38352,2.4,1.0
girasol,2017,2017/2018,Santa Fe,San Justo,16000,16000,38400,2.4,1.0
girasol,2017,2017/2018,Santiago del Estero,Copo,300,300,420,1.4,1.0
girasol,2017,2017/2018,Santa Fe,San Jerónimo,2450,2450,5390,2.2,1.0
girasol,2017,2017/2018,Santa Fe,San Javier,8000,8000,16000,2.0,1.0
girasol,2017,2017/2018,Santiago del Estero,Belgrano,4800,4800,10560,2.2,1.0
girasol,2017,2017/2018,Santa Fe,Vera,15500,15500,37200,2.4,1.0
girasol,2017,2017/2018,Santa Fe,San Martín,3850,3850,8470,2.2,1.0
girasol,2017,2017/2018,Santiago del Estero,Alberdi,1200,1200,1680,1.4,1.0
girasol,2017,2017/2018,Santiago del Estero,Aguirre,4000,4000,7200,1.8,1.0
girasol,2017,2017/2018,Santiago del Estero,Juan F. Ibarra,2500,2500,3750,1.5,1.0
girasol,2017,2017/2018,Santiago del Estero,Rivadavia,1000,1000,1400,1.4,1.0
girasol,2017,2017/2018,Santiago del Estero,Moreno,5100,5100,8160,1.6,1.0
girasol,2018,2018/2019,Chaco,12 de Octubre,36996,35808,60874,1.7,0.968
girasol,2018,2018/2019,San Luis,General Pedernera,8000,8000,16000,2.0,1.0
girasol,2018,2018/2019,Santa Fe,Castellanos,14470,13970,30734,2.2,0.965
girasol,2018,2018/2019,Santa Fe,Belgrano,400,400,800,2.0,1.0
girasol,2018,2018/2019,Buenos Aires,General Alvear,1400,1400,2940,2.1,1.0
girasol,2018,2018/2019,Buenos Aires,Lobos,960,950,1615,1.7,0.99
girasol,2018,2018/2019,Buenos Aires,Brandsen,800,800,1760,2.2,1.0
girasol,2018,2018/2019,Buenos Aires,General Alvarado,27176,27176,59787,2.2,1.0
girasol,2018,2018/2019,Buenos Aires,Bragado,800,800,2800,3.5,1.0
girasol,2018,2018/2019,Buenos Aires,Adolfo Gonzales Chaves,5000,4200,7980,1.9,0.84
girasol,2018,2018/2019,Buenos Aires,Lobería,47621,47621,109528,2.3,1.0
girasol,2018,2018/2019,Buenos Aires,Adolfo Alsina,40000,40000,80000,2.0,1.0
girasol,2018,2018/2019,Buenos Aires,9 de Julio,4000,4000,14000,3.5,1.0
girasol,2018,2018/2019,Buenos Aires,25 de Mayo,7939,7880,14578,1.85,0.993
girasol,2018,2018/2019,Buenos Aires,Ayacucho,30900,30900,61800,2.0,1.0
girasol,2018,2018/2019,Buenos Aires,Bolívar,20000,20000,42000,2.1,1.0
girasol,2018,2018/2019,Buenos Aires,Arrecifes,1107,1107,3542,3.2,1.0
girasol,2018,2018/2019,Buenos Aires,Alberti,800,800,2800,3.5,1.0
girasol,2018,2018/2019,Buenos Aires,Azul,19172,19172,42178,2.2,1.0
girasol,2018,2018/2019,Buenos Aires,Benito Juárez,16046,16046,36906,2.3,1.0
girasol,2018,2018/2019,Buenos Aires,Balcarce,33000,33000,72600,2.2,1.0
girasol,2018,2018/2019,Buenos Aires,Bahía Blanca,700,700,770,1.1,1.0
